dtreffre,numdep,nomdep,numregi,nomregi,af_majo,indfoy_af,lieures,trimestre_chomage,taux_chomage,population,nb_naissances
2019-02,52,HAUTE MARNE,44,GRAND EST,AF non majorées,7730,GRAND EST/HAUTE MARNE,T1_2017,8.8,172512.0,1424.0
2019-02,55,MEUSE,44,GRAND EST,AF majorées,3058,GRAND EST/MEUSE,T1_2017,9.3,184083.0,1551.0
2019-02,57,MOSELLE,44,GRAND EST,AF non majorées,46069,GRAND EST/MOSELLE,T1_2017,9.9,1046543.0,10232.0
2019-02,58,NIEVRE,27,BOURGOGNE FRANCHE COMTE,AF non majorées,8178,BOURGOGNE FRANCHE COMTE/NIEVRE,T1_2017,8.7,204452.0,1522.0
2019-02,58,NIEVRE,27,BOURGOGNE FRANCHE COMTE,AF majorées,2873,BOURGOGNE FRANCHE COMTE/NIEVRE,T1_2017,8.7,204452.0,1522.0
2019-02,60,OISE,32,HAUTS DE FRANCE,AF majorées,17348,HAUTS DE FRANCE/OISE,T1_2017,9.5,829419.0,9509.0
2019-02,61,ORNE,28,NORMANDIE,AF majorées,4871,NORMANDIE/ORNE,T1_2017,8.8,279942.0,2349.0
2019-02,62,PAS DE CALAIS,32,HAUTS DE FRANCE,AF majorées,31625,HAUTS DE FRANCE/PAS DE CALAIS,T1_2017,11.7,1465278.0,15590.0
2019-02,63,PUY DE DOME,84,AUVERGNE RHONE ALPES,AF non majorées,32692,AUVERGNE RHONE ALPES/PUY DE DOME,T1_2017,8.4,662152.0,6424.0
2019-02,65,HAUTES PYRENEES,76,OCCITANIE,AF majorées,3302,OCCITANIE/HAUTES PYRENEES,T1_2017,10.7,229567.0,1824.0
2019-02,67,BAS RHIN,44,GRAND EST,AF majorées,19357,GRAND EST/BAS RHIN,T1_2017,8.4,1140057.0,12019.0
2019-02,69,RHONE,84,AUVERGNE RHONE ALPES,AF non majorées,110726,AUVERGNE RHONE ALPES/RHONE,T1_2017,8.5,1875747.0,25152.0
2019-02,73,SAVOIE,84,AUVERGNE RHONE ALPES,AF majorées,7650,AUVERGNE RHONE ALPES/SAVOIE,T1_2017,7.6,436434.0,4383.0
2019-02,74,HAUTE SAVOIE,84,AUVERGNE RHONE ALPES,AF majorées,11980,AUVERGNE RHONE ALPES/HAUTE SAVOIE,T1_2017,7.1,826094.0,9823.0
2019-02,76,SEINE MARITIME,28,NORMANDIE,AF majorées,24082,NORMANDIE/SEINE MARITIME,T1_2017,10.7,1255633.0,14044.0
2019-02,77,SEINE ET MARNE,11,ILE DE FRANCE,AF majorées,31771,ILE DE FRANCE/SEINE ET MARNE,T1_2017,7.6,1421197.0,18585.0
2019-02,84,VAUCLUSE,93,PROVENCE ALPES COTE D AZUR,AF majorées,9869,PROVENCE ALPES COTE D AZUR/VAUCLUSE,T1_2017,12.2,561469.0,6315.0
2019-02,85,VENDEE,52,PAYS DE LA LOIRE,AF non majorées,37859,PAYS DE LA LOIRE/VENDEE,T1_2017,7.4,685442.0,5973.0
2019-02,87,HAUTE VIENNE,75,NOUVELLE AQUITAINE,AF majorées,5378,NOUVELLE AQUITAINE/HAUTE VIENNE,T1_2017,8.9,372359.0,3406.0
2019-02,92,HAUTS DE SEINE,11,ILE DE FRANCE,AF majorées,28995,ILE DE FRANCE/HAUTS DE SEINE,T1_2017,7.2,1624357.0,22251.0
2019-02,93,SEINE SAINT DENIS,11,ILE DE FRANCE,AF majorées,39898,ILE DE FRANCE/SEINE SAINT DENIS,T1_2017,12.2,1644903.0,28456.0
2019-02,973,GUYANE,03,GUYANE,AF majorées,13480,GUYANE/GUYANE,T1_2017,20.9,281678.0,8104.0
2019-01,08,ARDENNES,44,GRAND EST,AF non majorées,13363,GRAND EST/ARDENNES,T1_2017,11.5,270582.0,2566.0
